"times","variable","value","group"
7,"mouse_one",1.072,"regression"
10,"mouse_one",0.134,"regression"
12,"mouse_one",0.0565,"regression"
14,"mouse_one",0.01,"regression"
7,"mouse_two",1.072,"regression"
10,"mouse_two",0.0167552,"regression"
12,"mouse_two",0.0565488,"regression"
14,"mouse_two",0.01,"regression"
7,"mouse_three",2.788,"regression"
10,"mouse_three",0.1340416,"regression"
12,"mouse_three",0.0565488,"regression"
14,"mouse_three",0.01,"regression"
7,"mouse_four",3.619,"regression"
10,"mouse_four",0.2618,"regression"
12,"mouse_four",0.01,"regression"
14,"mouse_four",0.01,"regression"
7,"mouse_five",2.7876464,"growth"
10,"mouse_five",28.9529856,"growth"
12,"mouse_five",56.5488,"growth"
14,"mouse_five",93.7010998,"growth"
7,"mouse_six",0.1340416,"growth"
10,"mouse_six",14.3654896,"growth"
12,"mouse_six",32.725,"growth"
14,"mouse_six",166.5194608,"growth"
7,"mouse_seven",0.1340416,"growth"
10,"mouse_seven",12.2145408,"growth"
12,"mouse_seven",56.5488,"growth"
14,"mouse_seven",277.8242544,"growth"
